"DATE","TIME PERIOD","Long-term interest rate for convergence purposes - Euro (IRS.M.PT.L.L40.CI.0000.EUR.N.Z)"
"1993-07-31","1993Jul","10.67"
"1993-08-31","1993Aug","10.37"
"1993-09-30","1993Sep","9.74"
"1993-10-31","1993Oct","9.27"
"1993-11-30","1993Nov","9.39"
"1993-12-31","1993Dec","9.19"
"1994-01-31","1994Jan","8.93"
"1994-02-28","1994Feb","8.58"
"1994-03-31","1994Mar","8.97"
"1994-04-30","1994Apr","9.26"
"1994-05-31","1994May","9.96"
"1994-06-30","1994Jun","10.84"
"1994-07-31","1994Jul","11.34"
"1994-08-31","1994Aug","11.42"
"1994-09-30","1994Sep","11.75"
"1994-10-31","1994Oct","11.59"
"1994-11-30","1994Nov","11.51"
"1994-12-31","1994Dec","11.60"
"1995-01-31","1995Jan","11.79"
"1995-02-28","1995Feb","11.71"
"1995-03-31","1995Mar","11.98"
"1995-04-30","1995Apr","12.17"
"1995-05-31","1995May","11.92"
"1995-06-30","1995Jun","11.89"
"1995-07-31","1995Jul","11.69"
"1995-08-31","1995Aug","11.31"
"1995-09-30","1995Sep","11.15"
"1995-10-31","1995Oct","11.22"
"1995-11-30","1995Nov","10.74"
"1995-12-31","1995Dec","10.03"
"1996-01-31","1996Jan","9.44"
"1996-02-29","1996Feb","9.45"
"1996-03-31","1996Mar","9.46"
"1996-04-30","1996Apr","9.06"
"1996-05-31","1996May","8.97"
"1996-06-30","1996Jun","8.88"
"1996-07-31","1996Jul","8.71"
"1996-08-31","1996Aug","8.71"
"1996-09-30","1996Sep","8.32"
"1996-10-31","1996Oct","7.59"
"1996-11-30","1996Nov","7.17"
"1996-12-31","1996Dec","6.95"
"1997-01-31","1997Jan","6.72"
"1997-02-28","1997Feb","6.66"
"1997-03-31","1997Mar","6.87"
"1997-04-30","1997Apr","6.80"
"1997-05-31","1997May","6.49"
"1997-06-30","1997Jun","6.41"
"1997-07-31","1997Jul","6.26"
"1997-08-31","1997Aug","6.35"
"1997-09-30","1997Sep","6.13"
"1997-10-31","1997Oct","5.98"
"1997-11-30","1997Nov","5.96"
"1997-12-31","1997Dec","5.67"
"1998-01-31","1998Jan","5.41"
"1998-02-28","1998Feb","5.32"
"1998-03-31","1998Mar","5.25"
"1998-04-30","1998Apr","5.17"
"1998-05-31","1998May","5.18"
"1998-06-30","1998Jun","5.06"
"1998-07-31","1998Jul","4.95"
"1998-08-31","1998Aug","4.76"
"1998-09-30","1998Sep","4.46"
"1998-10-31","1998Oct","4.44"
"1998-11-30","1998Nov","4.43"
"1998-12-31","1998Dec","4.12"
"1999-01-31","1999Jan","3.90"
"1999-02-28","1999Feb","4.02"
"1999-03-31","1999Mar","4.24"
"1999-04-30","1999Apr","4.13"
"1999-05-31","1999May","4.32"
"1999-06-30","1999Jun","4.66"
"1999-07-31","1999Jul","4.99"
"1999-08-31","1999Aug","5.22"
"1999-09-30","1999Sep","5.41"
"1999-10-31","1999Oct","5.62"
"1999-11-30","1999Nov","5.36"
"1999-12-31","1999Dec","5.46"
"2000-01-31","2000Jan","5.81"
"2000-02-29","2000Feb","5.78"
"2000-03-31","2000Mar","5.61"
"2000-04-30","2000Apr","5.52"
"2000-05-31","2000May","5.68"
"2000-06-30","2000Jun","5.54"
"2000-07-31","2000Jul","5.61"
"2000-08-31","2000Aug","5.57"
"2000-09-30","2000Sep","5.63"
"2000-10-31","2000Oct","5.58"
"2000-11-30","2000Nov","5.53"
"2000-12-31","2000Dec","5.28"
"2001-01-31","2001Jan","5.16"
"2001-02-28","2001Feb","5.14"
"2001-03-31","2001Mar","5.09"
"2001-04-30","2001Apr","5.27"
"2001-05-31","2001May","5.42"
"2001-06-30","2001Jun","5.38"
"2001-07-31","2001Jul","5.39"
"2001-08-31","2001Aug","5.19"
"2001-09-30","2001Sep","5.17"
"2001-10-31","2001Oct","4.92"
"2001-11-30","2001Nov","4.76"
"2001-12-31","2001Dec","5.01"
"2002-01-31","2002Jan","5.08"
"2002-02-28","2002Feb","5.15"
"2002-03-31","2002Mar","5.39"
"2002-04-30","2002Apr","5.39"
"2002-05-31","2002May","5.40"
"2002-06-30","2002Jun","5.26"
"2002-07-31","2002Jul","5.12"
"2002-08-31","2002Aug","4.85"
"2002-09-30","2002Sep","4.63"
"2002-10-31","2002Oct","4.70"
"2002-11-30","2002Nov","4.66"
"2002-12-31","2002Dec","4.45"
"2003-01-31","2003Jan","4.27"
"2003-02-28","2003Feb","4.04"
"2003-03-31","2003Mar","4.08"
"2003-04-30","2003Apr","4.18"
"2003-05-31","2003May","3.91"
"2003-06-30","2003Jun","3.77"
"2003-07-31","2003Jul","4.10"
"2003-08-31","2003Aug","4.26"
"2003-09-30","2003Sep","4.29"
"2003-10-31","2003Oct","4.36"
"2003-11-30","2003Nov","4.48"
"2003-12-31","2003Dec","4.40"
"2004-01-31","2004Jan","4.25"
"2004-02-29","2004Feb","4.19"
"2004-03-31","2004Mar","4.00"
"2004-04-30","2004Apr","4.25"
"2004-05-31","2004May","4.42"
"2004-06-30","2004Jun","4.47"
"2004-07-31","2004Jul","4.35"
"2004-08-31","2004Aug","4.18"
"2004-09-30","2004Sep","4.12"
"2004-10-31","2004Oct","3.99"
"2004-11-30","2004Nov","3.86"
"2004-12-31","2004Dec","3.64"
"2005-01-31","2005Jan","3.56"
"2005-02-28","2005Feb","3.55"
"2005-03-31","2005Mar","3.70"
"2005-04-30","2005Apr","3.50"
"2005-05-31","2005May","3.35"
"2005-06-30","2005Jun","3.19"
"2005-07-31","2005Jul","3.35"
"2005-08-31","2005Aug","3.39"
"2005-09-30","2005Sep","3.23"
"2005-10-31","2005Oct","3.39"
"2005-11-30","2005Nov","3.58"
"2005-12-31","2005Dec","3.46"
"2006-01-31","2006Jan","3.45"
"2006-02-28","2006Feb","3.60"
"2006-03-31","2006Mar","3.77"
"2006-04-30","2006Apr","4.03"
"2006-05-31","2006May","4.07"
"2006-06-30","2006Jun","4.10"
"2006-07-31","2006Jul","4.14"
"2006-08-31","2006Aug","4.06"
"2006-09-30","2006Sep","3.93"
