"DATE","TIME PERIOD","Long-term interest rate for convergence purposes - Euro (IRS.M.ES.L.L40.CI.0000.EUR.N.Z)"
"1991-11-30","1991Nov","11.46"
"1991-12-31","1991Dec","11.32"
"1992-01-31","1992Jan","10.93"
"1992-02-29","1992Feb","10.79"
"1992-03-31","1992Mar","10.80"
"1992-04-30","1992Apr","10.85"
"1992-05-31","1992May","10.84"
"1992-06-30","1992Jun","11.34"
"1992-07-31","1992Jul","11.84"
"1992-08-31","1992Aug","12.22"
"1992-09-30","1992Sep","12.65"
"1992-10-31","1992Oct","13.00"
"1992-11-30","1992Nov","12.54"
"1992-12-31","1992Dec","12.53"
"1993-01-31","1993Jan","12.16"
"1993-02-28","1993Feb","11.43"
"1993-03-31","1993Mar","11.36"
"1993-04-30","1993Apr","11.49"
"1993-05-31","1993May","11.22"
"1993-06-30","1993Jun","10.56"
"1993-07-31","1993Jul","10.22"
"1993-08-31","1993Aug","9.48"
"1993-09-30","1993Sep","9.09"
"1993-10-31","1993Oct","8.69"
"1993-11-30","1993Nov","8.56"
"1993-12-31","1993Dec","8.28"
"1994-01-31","1994Jan","7.98"
"1994-02-28","1994Feb","8.07"
"1994-03-31","1994Mar","8.82"
"1994-04-30","1994Apr","9.07"
"1994-05-31","1994May","9.55"
"1994-06-30","1994Jun","10.28"
"1994-07-31","1994Jul","10.59"
"1994-08-31","1994Aug","10.68"
"1994-09-30","1994Sep","11.22"
"1994-10-31","1994Oct","11.14"
"1994-11-30","1994Nov","11.17"
"1994-12-31","1994Dec","11.38"
"1995-01-31","1995Jan","11.86"
"1995-02-28","1995Feb","11.60"
"1995-03-31","1995Mar","12.26"
"1995-04-30","1995Apr","12.09"
"1995-05-31","1995May","11.41"
"1995-06-30","1995Jun","11.54"
"1995-07-31","1995Jul","11.33"
"1995-08-31","1995Aug","10.97"
"1995-09-30","1995Sep","10.80"
"1995-10-31","1995Oct","10.89"
"1995-11-30","1995Nov","10.54"
"1995-12-31","1995Dec","9.95"
"1996-01-31","1996Jan","9.46"
"1996-02-29","1996Feb","9.71"
"1996-03-31","1996Mar","9.89"
"1996-04-30","1996Apr","9.33"
"1996-05-31","1996May","9.17"
"1996-06-30","1996Jun","9.11"
"1996-07-31","1996Jul","8.78"
"1996-08-31","1996Aug","8.86"
"1996-09-30","1996Sep","8.43"
"1996-10-31","1996Oct","7.76"
"1996-11-30","1996Nov","7.34"
"1996-12-31","1996Dec","7.00"
"1997-01-31","1997Jan","6.83"
"1997-02-28","1997Feb","6.74"
"1997-03-31","1997Mar","7.03"
"1997-04-30","1997Apr","6.95"
"1997-05-31","1997May","6.61"
"1997-06-30","1997Jun","6.47"
"1997-07-31","1997Jul","6.21"
"1997-08-31","1997Aug","6.31"
"1997-09-30","1997Sep","6.09"
"1997-10-31","1997Oct","5.98"
"1997-11-30","1997Nov","5.96"
"1997-12-31","1997Dec","5.64"
"1998-01-31","1998Jan","5.40"
"1998-02-28","1998Feb","5.24"
"1998-03-31","1998Mar","5.09"
"1998-04-30","1998Apr","5.06"
"1998-05-31","1998May","5.13"
"1998-06-30","1998Jun","5.02"
"1998-07-31","1998Jul","4.94"
"1998-08-31","1998Aug","4.74"
"1998-09-30","1998Sep","4.48"
"1998-10-31","1998Oct","4.43"
"1998-11-30","1998Nov","4.41"
"1998-12-31","1998Dec","4.07"
"1999-01-31","1999Jan","3.88"
"1999-02-28","1999Feb","4.02"
"1999-03-31","1999Mar","4.26"
"1999-04-30","1999Apr","4.09"
"1999-05-31","1999May","4.28"
"1999-06-30","1999Jun","4.61"
"1999-07-31","1999Jul","4.91"
"1999-08-31","1999Aug","5.17"
"1999-09-30","1999Sep","5.32"
"1999-10-31","1999Oct","5.56"
"1999-11-30","1999Nov","5.28"
"1999-12-31","1999Dec","5.37"
"2000-01-31","2000Jan","5.76"
"2000-02-29","2000Feb","5.73"
"2000-03-31","2000Mar","5.55"
"2000-04-30","2000Apr","5.45"
"2000-05-31","2000May","5.63"
"2000-06-30","2000Jun","5.45"
"2000-07-31","2000Jul","5.53"
"2000-08-31","2000Aug","5.50"
"2000-09-30","2000Sep","5.56"
"2000-10-31","2000Oct","5.50"
"2000-11-30","2000Nov","5.45"
"2000-12-31","2000Dec","5.20"
"2001-01-31","2001Jan","5.08"
"2001-02-28","2001Feb","5.12"
"2001-03-31","2001Mar","5.04"
"2001-04-30","2001Apr","5.18"
"2001-05-31","2001May","5.36"
"2001-06-30","2001Jun","5.33"
"2001-07-31","2001Jul","5.35"
"2001-08-31","2001Aug","5.16"
"2001-09-30","2001Sep","5.14"
"2001-10-31","2001Oct","4.91"
"2001-11-30","2001Nov","4.76"
"2001-12-31","2001Dec","4.97"
"2002-01-31","2002Jan","5.05"
"2002-02-28","2002Feb","5.11"
"2002-03-31","2002Mar","5.34"
"2002-04-30","2002Apr","5.34"
"2002-05-31","2002May","5.36"
"2002-06-30","2002Jun","5.23"
"2002-07-31","2002Jul","5.07"
"2002-08-31","2002Aug","4.78"
"2002-09-30","2002Sep","4.57"
"2002-10-31","2002Oct","4.63"
"2002-11-30","2002Nov","4.60"
"2002-12-31","2002Dec","4.43"
"2003-01-31","2003Jan","4.24"
"2003-02-28","2003Feb","4.01"
"2003-03-31","2003Mar","4.04"
"2003-04-30","2003Apr","4.19"
"2003-05-31","2003May","3.88"
"2003-06-30","2003Jun","3.69"
"2003-07-31","2003Jul","4.03"
"2003-08-31","2003Aug","4.19"
"2003-09-30","2003Sep","4.21"
"2003-10-31","2003Oct","4.27"
"2003-11-30","2003Nov","4.40"
"2003-12-31","2003Dec","4.34"
"2004-01-31","2004Jan","4.19"
"2004-02-29","2004Feb","4.15"
"2004-03-31","2004Mar","4.01"
"2004-04-30","2004Apr","4.20"
"2004-05-31","2004May","4.33"
"2004-06-30","2004Jun","4.39"
"2004-07-31","2004Jul","4.28"
"2004-08-31","2004Aug","4.15"
"2004-09-30","2004Sep","4.08"
"2004-10-31","2004Oct","3.97"
"2004-11-30","2004Nov","3.85"
"2004-12-31","2004Dec","3.64"
"2005-01-31","2005Jan","3.59"
"2005-02-28","2005Feb","3.58"
"2005-03-31","2005Mar","3.74"
"2005-04-30","2005Apr","3.53"
"2005-05-31","2005May","3.36"
"2005-06-30","2005Jun","3.18"
"2005-07-31","2005Jul","3.22"
"2005-08-31","2005Aug","3.23"
"2005-09-30","2005Sep","3.09"
